,Time,Hor_eye,Ver_eye
89,73703.9819234,73703.987701,73703.9934828
90,73703.9992604,73704.0050373,73704.0108143
91,73704.0165967,73704.0223737,73704.0281506
92,73704.0339282,73704.0454863,73704.0512632
93,73704.0570408,73704.0743771,73704.0801541
94,73704.085931,73704.0917086,73704.0974904
95,73704.1032674,73704.1090449,73704.1148219
96,73704.1206037,73704.1263813,73704.1321576
97,73704.1379345,73704.143717,73704.1494939
98,73704.1552708,73704.1610484,73704.1668253
99,73704.1726072,73704.1783847,73704.1841617
100,73704.1899386,73704.1957211,73704.201498
101,73704.2072749,73704.2130525,73704.2188294
102,73704.2246106,73704.2303882,73704.2361651
103,73704.2419421,73704.2477245,73704.265056
104,73704.2708329,73704.2766148,73704.2823923
105,73704.2881693,73704.2939462,73704.2997286
106,73704.3055056,73704.3112825,73704.3170595
107,73704.3228413,73704.3286182,73704.3343958
108,73704.3401727,73704.3459497,73704.3517321
109,73704.3575091,73704.363286,73704.3690636
110,73704.3748454,73704.3806223,73704.3863999
111,73704.3921768,73704.3979538,73704.4037362
112,73704.4095125,73704.4152895,73704.4268489
113,73704.4326258,73704.4384034,73704.4441803
114,73704.4499573,73704.4672936,73704.4730712
115,73704.478853,73704.4846299,73704.4904075
116,73704.4961844,73704.5019656,73704.5077432
117,73704.5135201,73704.5192971,73704.5250746
118,73704.5308565,73704.5366334,73704.542411
119,73704.5481879,73704.5539697,73704.5597467
120,73704.5655242,73704.5713012,73704.5770787
121,73704.5828606,73704.5886375,73704.5944138
122,73704.6001914,73704.6059732,73704.6117502
123,73704.6175277,73704.6233047,73704.6290816
124,73704.634864,73704.640641,73704.6464179
125,73704.6521955,73704.6579773,73704.6637543
126,73704.6695318,73704.6753088,73704.6810906
127,73704.6868675,73704.6926445,73704.6984214
128,73704.704199,73704.7099808,73704.7157577
129,73704.7215353,73704.7273122,73704.7330941
130,73704.7388716,73704.7446486,73704.7504255
131,73704.7562031,73704.7619849,73704.7677618
132,73704.7735394,73704.7793157,73704.7850975
133,73704.7908751,73704.7966521,73704.802429
134,73704.8082066,73704.8139884,73704.8197653
135,73704.8255429,73704.8313198,73704.8371017
136,73704.8428792,73704.8486562,73704.8544331
137,73704.8602155,73704.8659925,73704.8717688
138,73704.8775464,73704.8833233,73704.8891051
139,73704.8948827,73704.9006596,73704.9064366
140,73704.912219,73704.917996,73704.9237729
141,73704.9295505,73704.9353274,73704.9411092
142,73704.9468868,73704.9526637,73704.9584407
143,73704.9642225,73704.9699994,73704.9757764
144,73704.981554,73704.9873309,73704.9931127
145,73704.9988903,73705.0046672,73705.0104442
146,73705.0162266,73705.0220036,73705.0277805
147,73705.0335574,73705.0393399,73705.0451168
148,73705.0508944,73705.0566707,73705.0624476
149,73705.0682301,73705.074007,73705.079784
150,73705.0855615,73705.0913434,73705.0971203
151,73705.1028979,73705.1086748,73705.1144517
152,73705.1202342,73705.1260111,73705.1317881
153,73705.137565,73705.1433475,73705.1491238
154,73705.1549007,73705.1606783,73705.1664552
155,73705.1722371,73705.1780146,73705.1837916
156,73705.1895691,73705.1953509,73705.2011279
157,73705.2069048,73705.2126824,73705.2184642
158,73705.2242412,73705.2300187,73705.2357957
159,73705.241572,73705.2473544,73705.2531314
160,73705.2589083,73705.2646859,73705.2704677
161,73705.2762446,73705.2820222,73705.2877991
162,73705.2935761,73705.2993585,73705.3051355
163,73705.3109124,73705.31669,73705.3224718
164,73705.3282487,73705.3340257,73705.3398026
165,73705.3455796,73705.351362,73705.357139
166,73705.3629159,73705.3686935,73705.3744753
167,73705.3802522,73705.3860298,73705.3918067
168,73705.3975837,73705.4033661,73705.4091431
169,73705.41492,73705.4206976,73705.4264788
170,73705.4322557,73705.4380333,73705.4438102
171,73705.449592,73705.4553696,73705.4611465
172,73705.4669235,73705.472701,73705.4784829
173,73705.4842598,73705.4900374,73705.4958143
174,73705.5015961,73705.5073737,73705.5131506
175,73705.518927,73705.5247045,73705.5304863
176,73705.5362633,73705.5420409,73705.5478178
177,73705.5535996,73705.5593772,73705.5651541
178,73705.5709311,73705.5767086,73705.5824905
179,73705.5882674,73705.594045,73705.5998219
180,73705.6056037,73705.61138,73705.6171576
181,73705.6229345,73705.6287164,73705.6344939
182,73705.6402709,73705.6460478,73705.6518254
183,73705.6576072,73705.6633848,73705.6691617
184,73705.6749386,73705.6807205,73705.686498
185,73705.692275,73705.6980519,73705.7038289
186,73705.7096107,73705.7153876,73705.7211652
187,73705.7269421,73705.732724,73705.7385015
188,73705.7442785,73705.7500554,73705.755833
189,73705.7616148,73705.7673924,73705.7731693
190,73705.7789462,73705.7847281,73705.7905056
191,73705.7962819,73705.8020589,73705.8078413
192,73705.8136183,73705.8193952,73705.8251728
193,73705.8309497,73705.8367315,73705.8425091
194,73705.848286,73705.854063,73705.8598454
195,73705.8656224,73705.8713993,73705.8771769
196,73705.8829538,73705.888735,73705.8945126
197,73705.9002895,73705.9060665,73705.9118489
198,73705.9176259,73705.9234028,73705.9291804
199,73705.9349573,73705.9407391,73705.9465167
200,73705.9522936,73705.9580706,73706.1371955
201,73706.1545319,73706.1603088,73706.16609
202,73706.1718676,73706.1776445,73706.1834214
203,73706.1891984,73706.1949808,73706.2007578
204,73706.2065353,73706.2123123,73706.2180941
205,73706.223871,73706.2296486,73706.2354256
206,73706.2412031,73706.2469849,73706.2527619
207,73706.2585382,73706.2643158,73706.2700976
208,73706.2758745,73706.2816521,73706.287429
209,73706.293206,73706.2989884,73706.3047654
210,73706.3105423,73706.3163199,73706.3221017
211,73706.3278786,73706.3336562,73706.3394331
212,73706.345215,73706.3509919,73706.3567688
213,73706.3625458,73706.3683233,73706.3741052
214,73706.3798821,73706.3856597,73706.3914366
215,73706.3972184,73706.402996,73706.4087729
216,73706.4145499,73706.4203275,73706.4261093
217,73706.4318862,73706.4376638,73706.4434401
218,73706.4492219,73706.4549995,73706.4607764
219,73706.4665534,73706.4723309,73706.4781128
220,73706.4896673,73706.4954442,73706.501226
221,73706.5070036,73706.5127805,73706.5185575
222,73706.5243399,73706.5301169,73706.5358932
223,73706.5416707,73706.5474477,73706.5532295
224,73706.5590071,73706.564784,73706.570561
225,73706.5763434,73706.5821203,73706.5878973
226,73706.5936748,73706.5994518,73706.6052336
227,73706.6110112,73706.6167881,73706.6225651
228,73706.6283463,73706.6341238,73706.6399008
229,73706.6456783,73706.6514553,73706.6572371
230,73706.6630147,73706.6687916,73706.6745685
231,73706.680351,73706.6861279,73706.6919049
232,73706.6976818,73706.7034643,73706.7092412
233,73706.7150188,73706.7207951,73706.726572
234,73706.7323538,73706.7381314,73706.7439083
235,73706.7496859,73706.7554677,73706.7612447
236,73706.7670216,73706.7727992,73706.7785761
237,73706.7843586,73706.7901355,73706.7959125
238,73706.8016894,73706.8074718,73706.8132482
239,73706.8190251,73706.8248027,73706.8305796
240,73706.8363614,73706.842139,73706.8479159
241,73706.8536929,73706.8594753,73706.8652523
242,73706.8710292,73706.8768068,73706.8825837
243,73706.8883655,73706.8941431,73706.89992
244,73706.9056964,73706.9114788,73706.9172557
