,Time,Hor_eye,Ver_eye
73,74815.2769813,74815.2827625,74815.2885394
74,74815.294317,74815.3000939,74815.3058757
75,74815.3116533,74815.3174302,74815.3232072
76,74815.3289847,74815.3347666,74815.3405435
77,74815.3463211,74815.352098,74815.3578798
78,74815.3636574,74815.3694343,74815.3752107
79,74815.3809882,74815.3867701,74815.392547
80,74815.3983246,74815.4041015,74815.4098833
81,74815.4156609,74815.4214378,74815.4272148
82,74815.4329972,74815.4387742,74815.4445511
83,74815.4503287,74815.4561056,74815.4618874
84,74815.4676644,74815.4734413,74815.4792182
85,74815.4850007,74815.4907776,74815.4965546
86,74815.5023321,74815.5081091,74815.5138909
87,74815.5196685,74815.5254454,74815.5312224
88,74815.5370048,74815.5427817,74815.5485587
89,74815.5543362,74815.5601126,74815.5658944
90,74815.571672,74815.5774489,74815.5832258
91,74815.5947852,74815.6005622,74815.6063397
92,74815.6121216,74815.6178985,74815.6236761
93,74815.629453,74815.6352299,74815.6410124
94,74815.6467893,74815.6525656,74815.6583432
95,74815.664125,74815.669902,74815.6756795
96,74815.6814565,74815.6872334,74815.6930159
97,74815.6987928,74815.7045697,74815.7103473
98,74815.7161291,74815.7219061,74815.7276836
99,74815.7334606,74815.7392375,74815.7450193
100,74815.7507963,74815.7565732,74815.7623508
101,74815.7681326,74815.7739096,74815.7796871
102,74815.7854641,74815.7912459,74815.7970235
103,74815.8028004,74815.8085773,74815.8143549
104,74815.8201367,74815.8259137,74815.8316912
105,74815.8374675,74815.8432494,74815.8490269
106,74815.8548039,74815.8605808,74815.8663584
107,74815.8721402,74815.8779171,74815.8836947
108,74815.8894716,74815.8952535,74815.901031
109,74815.906808,74815.9125849,74815.9183625
110,74815.9241443,74815.9299206,74815.9356982
111,74815.9414751,74815.947257,74815.9530345
112,74815.9588115,74815.9645884,74815.9703708
113,74815.9761478,74815.9819247,74815.9877023
114,74815.9934792,74815.9992611,74816.0050386
115,74816.0108156,74816.0165925,74816.0223743
116,74816.0281513,74816.0339282,74816.0397058
117,74816.0454827,74816.0512645,74816.0570421
118,74816.062819,74816.068596,74816.0743784
119,74816.0801554,74816.0859323,74816.0917099
120,74816.0974868,74816.1032686,74816.1090462
121,74816.1148225,74816.1205995,74816.1263819
122,74816.1321589,74816.1379358,74816.1437134
123,74816.1494952,74816.1552721,74816.1610497
124,74816.1668266,74816.1726036,74816.178386
125,74816.184163,74816.1899399,74816.1957175
126,74816.2014993,74816.2072756,74816.2130532
127,74816.2188301,74816.224607,74816.2303895
128,74816.2361664,74816.2419434,74816.2477209
129,74816.2535028,74816.2592797,74816.2650573
130,74816.2708342,74816.2766112,74816.2823936
131,74816.2881705,74816.2939475,74816.2997244
132,74816.3055062,74816.3112832,74816.3170608
133,74816.3228377,74816.3286146,74816.3343971
134,74816.340174,74816.345951,74816.3517285
135,74816.3575104,74816.3632873,74816.3690649
136,74816.3748418,74816.3806236,74816.3864012
137,74816.3921775,74816.3979544,74816.403732
138,74816.4095138,74816.4152908,74816.4210683
139,74816.4268453,74816.4326271,74816.4384047
140,74816.4441816,74816.4499585,74816.4557361
141,74816.4615179,74816.4672949,74816.4730724
142,74816.4788494,74816.4846306,74816.4904081
143,74816.4961851,74816.501962,74816.5077396
144,74816.5135214,74816.5192984,74816.5250759
145,74816.5308529,74816.5366347,74816.5424123
146,74816.5481892,74816.5539661,74816.5597486
147,74816.5655255,74816.5713025,74816.5770794
148,74816.5828563,74816.5886382,74816.5944157
149,74816.6001927,74816.6059696,74816.6117521
150,74816.617529,74816.6233059,74816.6290835
151,74816.6348604,74816.6406423,74816.6464198
152,74816.6521968,74816.6579737,74816.6637562
153,74816.6695325,74816.6753094,74816.681087
154,74816.6868639,74816.6926458,74816.6984233
155,74816.7042003,74816.7099772,74816.7157597
156,74816.7215366,74816.7273135,74816.7330911
157,74816.7388729,74816.7446499,74816.7504274
158,74816.7562044,74816.7619807,74816.7677631
159,74816.7735401,74816.779317,74816.7850946
160,74816.7908764,74816.7966533,74816.8024309
161,74816.8082078,74816.8139848,74816.8197672
162,74816.8255442,74816.8313211,74816.8370987
163,74816.8428805,74816.8486574,74816.8544344
164,74816.8602113,74816.8659883,74816.8717707
165,74816.8775477,74816.8833246,74816.8891022
166,74816.894884,74816.9006609,74816.9064385
167,74816.9122154,74816.9179973,74816.9237748
168,74816.9295518,74816.9353287,74816.9411063
169,74816.9468875,74816.9526644,74816.958442
170,74816.9642189,74816.9700007,74816.9757783
171,74816.9815552,74816.9873322,74816.9931097
172,74816.9988916,74817.0046685,74817.0104461
173,74817.016223,74817.0220048,74817.0277824
174,74817.0335593,74817.0393357,74817.0451132
175,74817.0508951,74817.056672,74817.0624496
176,74817.0682265,74817.0740083,74817.0797859
177,74817.0855628,74817.0971222,74817.1028992
178,74817.1086761,74817.1202306,74817.1260124
179,74817.1317894,74817.1375663,74817.1433432
180,74817.1491257,74817.1549026,74817.1606796
181,74817.1664571,74817.1722341,74817.1780159
182,74817.1837935,74817.1895704,74817.1953474
183,74817.2011298,74817.2069067,74817.2126837
184,74817.2184612,74817.2242376,74817.2300194
185,74817.235797,74817.2415739,74817.2473508
186,74817.2531333,74817.2589102,74817.2646872
187,74817.2704647,74817.2762466,74817.2820235
188,74817.2878011,74817.293578,74817.2993549
189,74817.3051374,74817.3109143,74817.3166906
190,74817.3224682,74817.32825,74817.334027
191,74817.3398045,74817.3455815,74817.3513584
192,74817.3571409,74817.3629178,74817.3686947
193,74817.3744723,74817.3802541,74817.3860311
194,74817.3918086,74817.3975856,74817.4033625
195,74817.4091443,74817.4149213,74817.4206982
196,74817.4264758,74817.4322576,74817.4380346
197,74817.4438121,74817.4495891,74817.4553709
198,74817.4611485,74817.4669254,74817.4727023
199,74817.4784799,74817.4842617,74817.4900387
200,74817.4958162,74817.5015925,74817.5073744
201,74817.5131519,74817.5189289,74817.5247058
202,74817.5304834,74817.5362652,74817.5420421
203,74817.5478197,74817.5535966,74817.5593785
204,74817.565156,74817.570933,74817.5767099
205,74817.5824875,74817.5882693,74817.5940456
206,74817.5998232,74817.6056001,74817.611382
