,Time,Hor_eye,Ver_eye
57,74586.0285214,74586.0342989,74586.0400759
58,74586.0458577,74586.0516352,74586.0574122
59,74586.0631885,74586.068971,74586.0747479
60,74586.0805248,74586.0863024,74586.0920842
61,74586.0978612,74586.1036387,74586.1094157
62,74586.1151926,74586.1209751,74586.126752
63,74586.1325289,74586.1383065,74586.1440883
64,74586.1498659,74586.1556422,74586.1614191
65,74586.1671961,74586.1729785,74586.1787555
66,74586.184533,74586.19031,74586.1960918
67,74586.2018694,74586.2076463,74586.2134233
68,74586.2192008,74586.2249826,74586.2307596
69,74586.2365371,74586.2423141,74586.2480953
70,74586.2538729,74586.2596498,74586.2654267
71,74586.2712092,74586.2769861,74586.2827631
72,74586.2885406,74586.2943176,74586.3000994
73,74586.305877,74586.3116539,74586.3174308
74,74586.3232133,74586.3289902,74586.3347672
75,74586.3405441,74586.346321,74586.3521029
76,74586.3578804,74586.3636574,74586.3694343
77,74586.3752168,74586.3809937,74586.3867706
78,74586.3925482,74586.3983252,74586.404107
79,74586.4098845,74586.4156615,74586.4214384
80,74586.4272209,74586.4329972,74586.4387748
81,74586.4445517,74586.4503335,74586.4561105
82,74586.461888,74586.467665,74586.4734419
83,74586.4792244,74586.4850013,74586.4907789
84,74586.4965558,74586.5023376,74586.5081152
85,74586.5138921,74586.5196691,74586.525446
86,74586.5312278,74586.5370048,74586.5427823
87,74586.5485593,74586.5543411,74586.5601187
88,74586.5658956,74586.5716725,74586.5774501
89,74586.5832319,74586.5890089,74586.5947864
90,74586.6005634,74586.6063452,74586.6121228
91,74586.6178991,74586.623676,74586.6294585
92,74586.6352354,74586.6410124,74586.6467899
93,74586.6525669,74586.6583487,74586.6641263
94,74586.6699032,74586.6756801,74586.6814626
95,74586.6872395,74586.6930171,74586.698794
96,74586.704571,74586.7103522,74586.7161297
97,74586.7219067,74586.7276836,74586.7334661
98,74586.739243,74586.7450199,74586.7507975
99,74586.7565744,74586.7623569,74586.7681338
100,74586.7739108,74586.7796883,74586.7854702
101,74586.7912471,74586.7970247,74586.802801
102,74586.8085828,74586.8143604,74586.8201373
103,74586.8259143,74586.8316918,74586.8374736
104,74586.8432506,74586.8490282,74586.8548051
105,74586.8605869,74586.8663645,74586.8721414
106,74586.8779184,74586.8836959,74586.8894778
107,74586.8952541,74586.9010316,74586.9068086
108,74586.9125904,74586.918368,74586.9241449
109,74586.9299218,74586.9356994,74586.9414812
110,74586.9472582,74586.9530357,74586.9588127
111,74586.9645945,74586.9703721,74586.976149
112,74586.9819259,74586.9877078,74586.9934847
113,74586.9992617,74587.0050392,74587.0108162
114,74587.0165986,74587.0223756,74587.0281525
115,74587.0339294,74587.0397119,74587.0454888
116,74587.0512664,74587.0570433,74587.0628203
117,74587.0686027,74587.0743797,74587.080156
118,74587.0859335,74587.0917154,74587.0974923
119,74587.1032699,74587.1090468,74587.1148237
120,74587.1206062,74587.1263831,74587.1321601
121,74587.1379376,74587.1437195,74587.1494964
122,74587.155274,74587.1610509,74587.1668327
123,74587.1726097,74587.1783866,74587.1841636
124,74587.1899411,74587.1957229,74587.2014999
125,74587.2072775,74587.2130544,74587.2188362
126,74587.2246138,74587.2303907,74587.2361677
127,74587.2419452,74587.2477271,74587.253504
