,Time,Hor_eye,Ver_eye
203,75425.5304889,75425.5362664,75425.5420482
204,75425.5478252,75425.5536027,75425.5593797
205,75425.5651615,75425.5709391,75425.576716
206,75425.582493,75425.5882754,75425.5940523
207,75425.5998293,75425.6056062,75425.6113832
208,75425.617165,75425.6229426,75425.6287195
209,75425.6344964,75425.6402789,75425.6460558
210,75425.6518328,75425.6576103,75425.6633873
211,75425.6691691,75425.6749467,75425.6807236
212,75425.6865005,75425.692283,75425.6980593
213,75425.7038362,75425.7096138,75425.7153908
214,75425.7211726,75425.7269501,75425.7327271
215,75425.738504,75425.7442865,75425.7500634
216,75425.7558404,75425.7616179,75425.7673997
217,75425.7731767,75425.7789542,75425.7847312
218,75425.7905075,75425.79629,75425.8020669
219,75425.8078438,75425.8136214,75425.8194032
220,75425.8251802,75425.8309577,75425.8367347
221,75425.8425116,75425.8482941,75425.854071
222,75425.8598479,75425.8656255,75425.8714073
223,75425.8771843,75425.8829612,75425.8945151
224,75425.9002975,75425.9060745,75425.9118514
225,75425.917629,75425.9234108,75425.9291877
226,75425.9349653,75425.9407423,75425.9465241
227,75425.9523016,75425.9580786,75425.9638555
228,75425.9696331,75425.9754143,75425.9811912
229,75425.9869688,75425.9927457,75425.9985276
230,75426.0043051,75426.0100821,75426.015859
231,75426.0331953,75426.0389729,75426.0447498
232,75426.0505323,75426.0563092,75426.0620862
233,75426.0678625,75426.07364,75426.0794219
234,75426.0851994,75426.0909764,75426.0967533
235,75426.1025351,75426.1083127,75426.1140896
236,75426.1198672,75426.125649,75426.131426
237,75426.1372029,75426.1429805,75426.1487574
238,75426.1545399,75426.1603162,75426.1660931
239,75426.1718701,75426.1776525,75426.1834295
240,75426.189207,75426.194984,75426.2007609
241,75426.2065434,75426.2123203,75426.2180972
242,75426.2238748,75426.2296566,75426.2354336
243,75426.2412111,75426.2469881,75426.2527644
244,75426.2585468,75426.2643238,75426.2701007
245,75426.2758777,75426.2816601,75426.287437
246,75426.2932146,75426.2989915,75426.3047685
247,75426.3105509,75426.3163279,75426.3221048
248,75426.3278824,75426.3336642,75426.3394412
249,75426.3452181,75426.350995,75426.3567769
250,75426.3625544,75426.3683314,75426.3741083
251,75426.3798859,75426.3856677,75426.3914446
252,75426.3972222,75426.4029991,75426.408781
253,75426.4145585,75426.4203355,75426.4261124
254,75426.43189,75426.4376712,75426.4434481
255,75426.4492257,75426.4550026,75426.4607844
256,75426.466562,75426.4723389,75426.4781159
257,75426.4838934,75426.4896753,75426.4954522
258,75426.5012298,75426.5070067,75426.5127885
259,75426.5185661,75426.5243431,75426.5301194
260,75426.5359018,75426.5416788,75426.5474557
261,75426.5532333,75426.5590102,75426.564792
262,75426.5705696,75426.5763465,75426.5821235
263,75426.5879059,75426.5936829,75426.5994598
264,75426.6052374,75426.6110143,75426.6167961
265,75426.6225731,75426.62835,75426.6341269
266,75426.6399094,75426.6456863,75426.6514639
267,75426.6572408,75426.6630178,75426.6687996
268,75426.6745772,75426.6803541,75426.6861311
269,75426.6919135,75426.6976904,75426.7034674
270,75426.709245,75426.7150262,75426.7208031
271,75426.7265807,75426.7323576,75426.7381345
272,75426.743917,75426.7496939,75426.7554709
273,75426.7612484,75426.7670303,75426.7728072
274,75426.7785848,75426.7843617,75426.7901393
