,Time,Hor_eye,Ver_eye
61,71814.0689709,71814.0747485,71814.0805303
62,71814.0863072,71814.0920848,71814.0978617
63,71814.1036381,71814.1094205,71814.1151974
64,71814.1209744,71814.1267519,71814.1325338
65,71814.1383107,71814.1440883,71814.1498652
66,71814.1556422,71814.1614246,71814.1672016
67,71814.1729785,71814.1787561,71814.1845379
68,71814.1903148,71814.1960918,71814.2018687
69,71814.2076456,71814.2134281,71814.219205
70,71814.224982,71814.2307595,71814.2365414
71,71814.2423183,71814.2480959,71814.2538728
72,71814.2596546,71814.2654322,71814.2712091
73,71814.2769861,71814.2827636,71814.2885448
74,71814.2943218,71814.3000993,71814.3058763
75,71814.3116581,71814.3174357,71814.3232126
76,71814.3289896,71814.3347671,71814.3405489
77,71814.3463259,71814.3521035,71814.3578804
78,71814.3636628,71814.3694398,71814.3752167
79,71814.380993,71814.3867706,71814.3925524
80,71814.39833,71814.4041069,71814.4098839
81,71814.4329971,71814.4387796,71814.4445565
82,71814.4503335,71814.456111,71814.461888
83,71814.4676704,71814.4734467,71814.4792237
84,71814.4850006,71814.4907831,71814.49656
85,71814.5023376,71814.5081145,71814.5138915
86,71814.5196739,71814.5254508,71814.5312278
87,71814.5370054,71814.5427872,71814.5485641
88,71814.5543417,71814.5601186,71814.5658949
89,71814.5716774,71814.5774543,71814.5832313
90,71814.5890088,71814.5947907,71814.6005676
91,71814.6063452,71814.6121221,71814.6179039
92,71814.6236815,71814.6294584,71814.6352354
93,71814.6410129,71814.6467948,71814.6525717
94,71814.6583486,71814.6641256,71814.6699074
95,71814.675685,71814.6814619,71814.6872389
96,71814.6930164,71814.6987982,71814.7045752
97,71814.7103527,71814.7161297,71814.7219115
98,71814.7276891,71814.733466,71814.739243
99,71814.7450205,71814.7508017,71814.7565787
100,71814.7623562,71814.7681332,71814.773915
101,71814.7796926,71814.7854695,71814.7912464
102,71814.7970289,71814.8028058,71814.8085828
103,71814.8143603,71814.8201373,71814.8259191
104,71814.8316967,71814.8374736,71814.8432499
105,71814.8490324,71814.8548093,71814.8605862
106,71814.8663638,71814.8721408,71814.8779226
107,71814.8837001,71814.8894771,71814.895254
108,71814.9010365,71814.9068134,71814.9125904
109,71814.9183679,71814.9241449,71814.9299267
110,71814.9357036,71814.9414806,71814.9472575
111,71814.95304,71814.9588169,71814.9645938
112,71814.9703714,71814.9761532,71814.9819302
113,71814.9877077,71814.9934847,71814.9992616
114,71815.0050441,71815.010821,71815.0165979
115,71815.0223755,71815.0281567,71815.0339343
116,71815.0570475,71815.0628245,71815.068602
117,71815.074379,71815.0801608,71815.0859384
118,71815.0917153,71815.0974923,71815.1032698
119,71815.1090516,71815.1148286,71815.1206055
120,71815.1263825,71815.1321643,71815.1379419
121,71815.1437188,71815.1494957,71815.1552782
122,71815.1610551,71815.1668321,71815.1726096
123,71815.1783866,71815.1841684,71815.189946
124,71815.1957229,71815.2014998,71815.2072823
125,71815.2130586,71815.2188355,71815.2246131
126,71815.23039,71815.2361719,71815.2419494
127,71815.2477264,71815.2535033,71815.2592858
128,71815.2650627,71815.2708396,71815.2766172
129,71815.2823942,71815.288176,71815.2939535
130,71815.2997305,71815.3055068,71815.3112892
131,71815.3170662,71815.3228431,71815.3286207
132,71815.3343976,71815.3401795,71815.345957
133,71815.351734,71815.3575109,71815.3632934
134,71815.3690703,71815.3748472,71815.3806248
135,71815.3864066,71815.3921836,71815.3979605
136,71815.4037374,71815.4095144,71815.4152968
137,71815.4210738,71815.4268507,71815.4326283
138,71815.4384101,71815.444187,71815.4499646
139,71815.4557415,71815.4615185,71815.4673009
140,71815.4730779,71815.4788548,71815.4846324
141,71815.4904136,71815.4961905,71815.5019681
142,71815.507745,71815.513522,71815.5193044
143,71815.5250814,71815.5308583,71815.5366359
144,71815.5424177,71815.5481946,71815.5539722
145,71815.5597491,71815.5655316,71815.5713085
146,71815.5770855,71815.5828618,71815.5886393
147,71815.5944212,71815.6001981,71815.6059757
148,71815.6117526,71815.6175344,71815.623312
149,71815.6290889,71815.6348665,71815.6406434
150,71815.6464253,71815.6522022,71815.6579798
151,71815.6637567,71815.6695392,71815.6753155
152,71815.6810924,71815.68687,71815.6926469
153,71815.6984288,71815.7042063,71815.7099833
154,71815.7157602,71815.721542,71815.7273196
155,71815.7330965,71815.7388741,71815.7446559
156,71815.7504329,71815.7562104,71815.7619874
157,71815.7677637,71815.7735461,71815.7793231
158,71815.7851,71815.7908776,71815.7966594
159,71815.8024363,71815.8082139,71815.8139908
160,71815.8197678,71815.8255502,71815.8313272
161,71815.8371041,71815.8428817,71815.8486635
162,71815.8544404,71815.8602174,71815.8659943
163,71815.8717713,71815.8775537,71815.8833307
164,71815.8891076,71815.8948852,71815.900667
165,71815.9064439,71815.9122215,71815.9179984
166,71815.9237803,71815.9295578,71815.9353348
167,71815.9411117,71815.9468893,71815.9526705
168,71815.9584474,71815.964225,71815.9700019
169,71815.9757837,71815.9815613,71815.9873382
170,71815.9931152,71815.9988927,71816.0046746
171,71816.0104515,71816.0162291,71816.022006
172,71816.0277878,71816.0335654,71816.0393423
173,71816.0451187,71816.0508962,71816.0566781
174,71816.062455,71816.0682326,71816.0740095
175,71816.0797913,71816.0855689,71816.0913458
176,71816.0971228,71816.1029052,71816.1086822
177,71816.1144591,71816.1202367,71816.1260136
178,71816.1317954,71816.1375724,71816.1433493
179,71816.1491262,71816.1549087,71816.1606856
180,71816.1664632,71816.1722401,71816.1780171
181,71816.1837989,71816.1895765,71816.1953534
182,71816.2011304,71816.2069128,71816.2126897
183,71816.2184667,71816.2242442,71816.2300206
184,71816.235803,71816.24158,71816.2473569
185,71816.2531338,71816.2589163,71816.2646932
186,71816.2704708,71816.2762477,71816.2820296
187,71816.2878065,71816.2935841,71816.299361
188,71816.3051386,71816.3109204,71816.3166973
189,71816.3224743,71816.3282512,71816.334033
190,71816.3398106,71816.3455875,71816.3513645
191,71816.357142,71816.3629239,71816.3687008
192,71816.3744784,71816.3802553,71816.3860371
193,71816.3918147,71816.3975916,71816.4033686
194,71816.4091461,71816.4149273,71816.4207043
195,71816.4264819,71816.4322588,71816.4380406
196,71816.4438182,71816.4495951,71816.4553721
197,71816.4611545,71816.4669315,71816.4727084
198,71816.478486,71816.4842629,71816.4900447
199,71816.4958223,71816.5015992,71816.5073755
200,71816.513158,71816.5189349,71816.5247119
201,71816.5304894,71816.5362664,71816.5420482
202,71816.5478258,71816.5536027,71816.5593796
203,71816.5651621,71816.570939,71816.576716
204,71816.5824935,71816.5882705,71816.5940523
205,71816.5998292,71816.6056062,71816.6113831
206,71816.6171656,71816.6229425,71816.6287195
207,71816.634497,71816.6402788,71816.6460558
208,71816.6518334,71816.6576103,71816.6633872
209,71816.6691697,71816.6749466,71816.6807236
210,71816.6865011,71816.6922823,71816.6980593
211,71816.7038368,71816.7096138,71816.7153907
212,71816.7211732,71816.7269501,71816.732727
213,71816.7385046,71816.7442864,71816.7500634
214,71816.7558409,71816.7616179,71816.7673948
215,71816.7731773,71816.7789542,71816.7847305
216,71816.7905081,71816.7962899,71816.8020675
217,71816.8078444,71816.8136214,71816.8194032
218,71816.8251807,71816.8309577,71816.8367353
219,71816.8425122,71816.848294,71816.854071
220,71816.8598485,71816.8656255,71816.8714079
221,71816.8771842,71816.8829612,71816.8887387
222,71816.8945157,71816.9002975,71816.9060751
223,71816.911852,71816.9176289,71816.9234114
224,71816.9291883,71816.9349653,71816.9407428
225,71816.9465198,71816.9523016,71816.9580792
226,71816.9638561,71816.9696324,71816.9754149
227,71816.9811918,71816.9869688,71816.9927463
228,71816.9985281,71817.0043051,71817.0100826
229,71817.0158596,71817.0216365,71817.027419
230,71817.0331959,71817.0389729,71817.0447504
231,71817.0505323,71817.0563092,71817.0620861
232,71817.0678631,71817.07364,71817.0794225
233,71817.0851994,71817.0909763,71817.0967539
234,71817.1025357,71817.1083127,71817.1140902
235,71817.1198672,71817.1256441,71817.1314266
236,71817.1372035,71817.1429804,71817.148758
237,71817.1545392,71817.1603161,71817.1660937
238,71817.1718707,71817.1776476,71817.18343
239,71817.189207,71817.1949839,71817.2007615
240,71817.2065433,71817.2123203,71817.2180978
241,71817.2238748,71817.2296566,71817.2354342
242,71817.2412111,71817.2469874,71817.252765
243,71817.2585468,71817.2643237,71817.2701013
244,71817.2758782,71817.2816601,71817.2874376
245,71817.2932146,71817.2989915,71817.3047691
246,71817.3105509,71817.3163278,71817.3221054
247,71817.3278823,71817.3336642,71817.3394411
248,71817.3452181,71817.350995,71817.3567726
249,71817.3625544,71817.3683319,71817.3741089
250,71817.3798858,71817.3856677,71817.3914452
251,71817.3972222,71817.4029997,71817.4087815
252,71817.4145585,71817.4203354,71817.426113
253,71817.4318893,71817.4376718,71817.4434487
254,71817.4492256,71817.4550026,71817.460785
255,71817.466562,71817.4723395,71817.4781165
256,71817.4838934,71817.4896759,71817.4954528
257,71817.5012297,71817.5070073,71817.5127891
258,71817.5185661,71817.524343,71817.53012
259,71817.5358969,71817.5416793,71817.5474563
260,71817.5532332,71817.5590108,71817.5647926
261,71817.5705696,71817.5763471,71817.5821241
262,71817.5879059,71817.5936834,71817.5994604
263,71817.6052373,71817.6110149,71817.6167961
264,71817.622573,71817.6283506,71817.6341275
265,71817.6399094,71817.6456869,71817.6514639
266,71817.6572408,71817.6630184,71817.6688002
267,71817.6745771,71817.6803547,71817.6861316
268,71817.6919135,71817.697691,71817.703468
269,71817.7092443,71817.7150219,71817.7208037
270,71817.7265806,71817.7323582,71817.7381351
271,71817.7439169,71817.7496945,71817.7554715
272,71817.7612484,71817.7670308,71817.7728078
273,71817.7785847,71817.7843623,71817.7901392
274,71817.7959211,71817.801698,71817.8074749
275,71817.8132519,71817.8190343,71817.8248113
276,71817.8305882,71817.8363658,71817.8421427
277,71817.8479245,71817.8537021,71817.859479
278,71817.865256,71817.8710384,71817.8768154
279,71817.8825923,71817.8883699,71817.8941462
280,71817.8999286,71817.9057056,71817.9114825
281,71817.9172595,71817.9230419,71817.9288188
282,71817.9345958,71817.9403734,71817.9461552
283,71817.9519321,71817.9577097,71817.9634866
284,71817.9692642,71817.975046,71817.980823
285,71817.9865993,71817.9923768,71817.9981587
286,71818.0039362,71818.0097132,71818.0154901
287,71818.021267,71818.0270495,71818.0328264
288,71818.038604,71818.0443809,71818.0501628
289,71818.0559397,71818.0617173,71818.0674942
290,71818.0732718,71818.079053,71818.0848299
291,71818.0906075,71818.0963844,71818.1021662
292,71818.1079438,71818.1137207,71818.1194977
293,71818.1252801,71818.1310571,71818.136834
294,71818.1426116,71818.1483885,71818.1541703
295,71818.1599479,71818.1657249,71818.1715012
296,71818.1772836,71818.1830606,71818.1888375
297,71818.1946151,71818.200392,71818.2061738
298,71818.2119514,71818.2177283,71818.2235053
299,71818.2292877,71818.2350647,71818.2408416
300,71818.2466192,71818.2523961,71818.2581779
301,71818.2639549,71818.2697318,71818.2755088
302,71818.2812912,71818.2870681,71818.2928451
303,71818.2986226,71818.3044045,71818.3101814
304,71818.315959,71818.3217359,71818.3275129
305,71818.3332953,71818.3390722,71818.3448492
306,71818.3506268,71818.356408,71818.3621849
307,71818.3679625,71818.3737394,71818.3795163
308,71818.3852988,71818.3968527,71818.4026302
309,71818.4084121,71818.414189,71818.4199666
310,71818.4257435,71818.4315204,71818.4373029
311,71818.4430798,71818.4488561,71818.4546337
312,71818.4604155,71818.4661925,71818.47197
313,71818.477747,71818.4835288,71818.4893064
314,71818.4950833,71818.5008609,71818.5066378
315,71818.5124196,71818.5181966,71818.5239741
316,71818.5297511,71818.5355335,71818.5413099
317,71818.5470868,71818.5528637,71818.5586413
318,71818.5644231,71818.5702007,71818.5759776
319,71818.5817546,71818.5875364,71818.593314
320,71818.5990909,71818.6048685,71818.6106454
321,71818.6164272,71818.6222042,71818.6279817
322,71818.633758,71818.6395405,71818.6453174
323,71818.6510944,71818.6568713,71818.6626538
324,71818.6684307,71818.6742083,71818.6799852
325,71818.6857622,71818.691544,71818.6973215
326,71818.7030985,71818.708876,71818.7146579
327,71818.7204348,71818.7262118,71818.7319887
328,71818.7377656,71818.7435481,71818.749325
329,71818.755102,71818.7608795,71818.7666614
330,71818.7724383,71818.7782159,71818.7839928
331,71818.7897697,71818.7955522,71818.8013291
332,71818.8071061,71818.8128836,71818.8186648
333,71818.8244418,71818.8302193,71818.8359963
334,71818.8417781,71818.8475557,71818.8533326
335,71818.8591095,71818.8648871,71818.8706689
336,71818.8764459,71818.8822234,71818.8880004
337,71818.8937822,71818.8995598,71818.9053367
338,71818.911113,71818.9168906,71818.9226724
339,71818.9284494,71818.9342269,71818.9400039
340,71818.9457857,71818.9515633,71818.9573402
341,71818.9631171,71818.9688947,71818.9746765
342,71818.9804535,71818.986231,71818.992008
343,71818.9977898,71819.0035667,71819.0093437
344,71819.0151206,71819.0209031,71819.02668
345,71819.0324569,71819.0382345,71819.0440115
346,71819.0497933,71819.0555708,71819.0613478
347,71819.0671247,71819.0729072,71819.0786841
348,71819.0844611,71819.0902386,71819.0960149
349,71819.1017974,71819.1075743,71819.1133513
350,71819.1191282,71819.1249107,71819.1306876
351,71819.1364652,71819.1422421,71819.148019
352,71819.1538009,71819.1595784,71819.1653554
353,71819.1711323,71819.1769148,71819.1826917
354,71819.1884686,71819.1942456,71819.2000225
355,71819.205805,71819.2115819,71819.2173588
356,71819.2231358,71819.2289182,71819.2404727
357,71819.2462497,71819.2520315,71819.2578091
358,71819.263586,71819.269363,71819.2751405
359,71819.2809217,71819.2866987,71819.2924756
360,71819.2982532,71819.304035,71819.3098126
361,71819.3155895,71819.3213664,71819.327144
362,71819.3329258,71819.3387028,71819.3444803
363,71819.3502573,71819.3560391,71819.3618167
364,71819.3675936,71819.3733699,71819.3791475
365,71819.3849293,71819.3907062,71819.3964838
366,71819.4022607,71819.4080426,71819.4138201
367,71819.4195971,71819.425374,71819.4311565
368,71819.4369334,71819.4427103,71819.4484879
369,71819.4542649,71819.4600467,71819.4658236
370,71819.4716006,71819.4773775,71819.4831599
371,71819.4889369,71819.4947138,71819.5004914
372,71819.5062683,71819.5120502,71819.5178277
373,71819.5236047,71819.5293816,71819.5351641
374,71819.540941,71819.5467179,71819.5524955
375,71819.5582718,71819.5640536,71819.5698312
376,71819.5756081,71819.5813851,71819.5871675
377,71819.5929445,71819.5987214,71819.604499
378,71819.6102808,71819.6160577,71819.6218353
379,71819.6276122,71819.6333892,71819.6391716
380,71819.6449486,71819.6507249,71819.6565025
381,71819.6622843,71819.6680612,71819.6738388
382,71819.6796157,71819.6853927,71819.6911751
383,71819.6969521,71819.7027296,71819.7085066
384,71819.7142884,71819.7200653,71819.7258429
385,71819.7316198,71819.7373974,71819.7431786
386,71819.7489555,71819.7547331,71819.76051
387,71819.7720694,71819.7778464,71819.7836233
388,71819.7894051,71819.7951827,71819.8009596
389,71819.8067372,71819.8125141,71819.818296
390,71819.8240729,71819.8298505,71819.8356268
391,71819.8414092,71819.8471862,71819.8529631
392,71819.8587401,71819.8645176,71819.8702995
393,71819.876077,71819.881854,71819.8876309
394,71819.8934134,71819.8991903,71819.9049672
395,71819.9107448,71819.9165217,71819.9223036
396,71819.9280805,71819.9338574,71819.9396344
397,71819.9454168,71819.9511938,71819.9569707
398,71819.9627483,71819.9685301,71819.974307
399,71819.9800846,71819.9858615,71819.9916385
400,71819.9974209,71820.0031979,71820.0089748
401,71820.0147524,71820.0205336,71820.0263105
402,71820.0320881,71820.037865,71820.043642
403,71820.0494244,71820.0552014,71820.0609783
404,71820.0667559,71820.0725377,71820.0783146
405,71820.0840922,71820.0898691,71820.0956461
406,71820.1014285,71820.1072055,71820.1129818
407,71820.1187593,71820.1245412,71820.1303181
408,71820.1360957,71820.1418726,71820.1476544
409,71820.153432,71820.1592089,71820.1649859
410,71820.1707634,71820.1765453,71820.1823222
411,71820.1880998,71820.1938767,71820.1996585
412,71820.2054355,71820.2112124,71820.2169894
413,71820.2227669,71820.2285488,71820.2343257
414,71820.2401033,71820.2458802,71820.251662
415,71820.2574396,71820.2632165,71820.2689935
416,71820.274771,71820.2805529,71820.2863298
417,71820.2921074,71820.2978837,71820.3036655
418,71820.3094431,71820.31522,71820.3209969
419,71820.3267794,71820.3325563,71820.3383339
420,71820.3441108,71820.3498878,71820.3556696
421,71820.3614472,71820.3672241,71820.3730017
422,71820.3787835,71820.3845604,71820.3903374
423,71820.3961143,71820.4018913,71820.4076737
424,71820.4134507,71820.4192276,71820.4250045
425,71820.430787,71820.4365639,71820.4423415
426,71820.4481184,71820.4538954,71820.4596778
427,71820.4654548,71820.4712317,71820.4770093
428,71820.4827905,71820.4885674,71820.494345
429,71820.5001219,71820.5059037,71820.5116813
430,71820.5174582,71820.5232352,71820.5290127
431,71820.5347946,71820.5405715,71820.5463491
432,71820.552126,71820.5579078,71820.5636854
433,71820.5694623,71820.5752387,71820.5810162
434,71820.586798,71820.592575,71820.5983526
435,71820.6041295,71820.6099113,71820.6156889
436,71820.6214658,71820.6272428,71820.6330203
437,71820.6388022,71820.6445791,71820.6503567
438,71820.6561336,71820.6619154,71820.6676924
439,71820.6734693,71820.6792462,71820.6850287
440,71820.6908056,71820.6965826,71820.7023601
