,Time,Hor_eye,Ver_eye
0,74461.0,74461.0173308,74461.0231078
1,74461.0288896,74461.0346672,74461.0404441
2,74461.046221,74461.0520035,74461.0577804
3,74461.0635574,74461.0693349,74461.0751119
4,74461.0808937,74461.0866713,74461.0924482
5,74461.0982245,74461.104007,74461.1097839
6,74461.1155609,74461.1213384,74461.1271202
7,74461.1328972,74461.1386747,74461.1444517
8,74461.1502286,74461.1560111,74461.161788
9,74461.167565,74461.1733425,74461.1791244
10,74461.1849013,74461.1906782,74461.1964552
11,74461.2022321,74461.2080146,74461.2137915
12,74461.2195684,74461.225346,74461.2311278
13,74461.2369048,74461.2426823,74461.2484593
14,74461.2542362,74461.2600187,74461.2657956
15,74461.2715725,74461.2773501,74461.2831313
16,74461.2889082,74461.2946858,74461.3004628
17,74461.3062397,74461.3120221,74461.3177991
18,74461.323576,74461.3293536,74461.3351354
19,74461.3409124,74461.3466899,74461.3524669
20,74461.3582487,74461.3640263,74461.3698032
21,74461.3755795,74461.3813571,74461.3871389
22,74461.3929158,74461.3986934,74461.4044703
23,74461.4102522,74461.4160297,74461.4218067
24,74461.4275836,74461.4333612,74461.439143
25,74461.4449199,74461.4506975,74461.4564744
26,74461.4622563,74461.4680332,74461.4738102
27,74461.4795871,74461.4853647,74461.4911465
28,74461.4969234,74461.502701,74461.5084779
29,74461.5142598,74461.5200373,74461.5258143
30,74461.5315912,74461.5373736,74461.5431506
31,74461.5489275,74461.5547051,74461.5604814
32,74461.5662632,74461.5720408,74461.5778177
33,74461.5835947,74461.5893771,74461.5951541
34,74461.600931,74461.6067086,74461.6124855
35,74461.6182673,74461.6240449,74461.6298218
36,74461.6355988,74461.6413812,74461.6471582
37,74461.6529345,74461.6587121,74461.664489
38,74461.6702708,74461.6760484,74461.6818253
39,74461.6876023,74461.6933847,74461.6991617
40,74461.7049386,74461.7107162,74461.716498
41,74461.7222749,74461.7280525,74461.7338294
42,74461.7396064,74461.7453882,74461.7511651
43,74461.7569421,74461.7627196,74461.7685015
44,74461.7742784,74461.780056,74461.7858329
45,74461.7916098,74461.7973923,74461.8031692
46,74461.8089462,74461.8147237,74461.8205056
47,74461.8262825,74461.8320601,74461.8378364
48,74461.8436133,74461.8493958,74461.8551727
49,74461.8609497,74461.8667272,74461.872509
50,74461.878286,74461.8840636,74461.8898405
51,74461.8956223,74461.9013999,74461.9071768
52,74461.9129538,74461.9187313,74461.9245132
53,74461.9302895,74461.936067,74461.941844
54,74461.9476258,74461.9534034,74461.9591803
55,74461.9649572,74461.9707348,74461.9765166
56,74461.9822936,74461.9880711,74461.9938481
57,74461.9996299,74462.0054075,74462.0111844
58,74462.0169613,74462.0227383,74462.0285201
59,74462.0342971,74462.0400746,74462.0458516
60,74462.0516334,74462.0574109,74462.0631879
61,74462.0689648,74462.0747473,74462.0805242
62,74462.0863012,74462.0920787,74462.0978557
63,74462.1036375,74462.1094151,74462.1151914
64,74462.1209683,74462.1267508,74462.1325277
65,74462.1383046,74462.1440822,74462.1498591
66,74462.155641,74462.1614185,74462.1671955
67,74462.1729724,74462.1787549,74462.1845318
68,74462.1903087,74462.1960863,74462.2018632
69,74462.2076444,74462.213422,74462.219199
70,74462.2249759,74462.2307583,74462.2365353
71,74462.2423122,74462.2480898,74462.2538716
72,74462.2596486,74462.2654261,74462.2712031
73,74462.27698,74462.2827624,74462.2885394
74,74462.2943163,74462.3000933,74462.3058751
75,74462.311652,74462.3174296,74462.3232065
76,74462.3347659,74462.3405429,74462.3463198
77,74462.3520974,74462.3578792,74462.3636561
78,74462.3694337,74462.3752106,74462.3809876
79,74462.38677,74462.3925463,74462.3983239
80,74462.4041009,74462.4098827,74462.4156596
81,74462.4214372,74462.4272141,74462.4329959
82,74462.4387735,74462.4445505,74462.4503274
83,74462.456105,74462.4618868,74462.4676637
84,74462.4734413,74462.4792182,74462.4849994
85,74462.490777,74462.4965539,74462.5023315
86,74462.5081084,74462.5138903,74462.5196672
87,74462.5254448,74462.5312217,74462.5370035
88,74462.5427811,74462.548558,74462.554335
89,74462.5601125,74462.5658944,74462.5716713
90,74462.5774482,74462.5832252,74462.589007
91,74462.5947846,74462.6005615,74462.6063385
92,74462.6121209,74462.6178978,74462.6236748
93,74462.6294524,74462.6352293,74462.6410111
94,74462.6467887,74462.6525656,74462.6583426
95,74462.664125,74462.6699013,74462.6756783
96,74462.6814558,74462.6872328,74462.6930146
97,74462.6987922,74462.7045691,74462.710346
98,74462.7161285,74462.7219054,74462.7276824
99,74462.7334599,74462.7392369,74462.7450187
100,74462.7507963,74462.7565732,74462.7623495
101,74462.768132,74462.7739089,74462.7796865
102,74462.7854634,74462.7912452,74462.7970222
103,74462.8027997,74462.8085767,74462.8143536
104,74462.8201361,74462.825913,74462.83169
105,74462.8374675,74462.8432494,74462.8490263
