,Time,Hor_eye,Ver_eye
154,75312.7330934,75312.7388703,75312.7446473
155,75312.7504297,75312.7562067,75312.7619836
156,75312.7677612,75312.773543,75312.7793199
157,75312.7850975,75312.7908744,75312.7966557
158,75312.8024332,75312.8082102,75312.8139871
159,75312.8197647,75312.8255465,75312.8313234
160,75312.837101,75312.8428779,75312.8486598
161,75312.8544367,75312.8602143,75312.8659912
162,75312.8717681,75312.8775506,75312.8833275
163,75312.8891038,75312.8948814,75312.9006632
164,75312.9064402,75312.9122177,75312.9179947
165,75312.9237716,75312.9295541,75312.935331
166,75312.9411079,75312.9468855,75312.9526673
167,75312.9584443,75312.9642218,75312.9699988
168,75312.9757757,75312.9815576,75312.9873345
169,75312.9931114,75312.998889,75313.0046708
170,75313.0104478,75313.0162253,75313.0220023
171,75313.0277841,75313.0335617,75313.0393386
172,75313.0451155,75313.0508931,75313.0566749
173,75313.0624519,75313.0682294,75313.0740057
174,75313.0797876,75313.0855651,75313.0913421
175,75313.097119,75313.1028966,75313.1086784
176,75313.1144553,75313.1202323,75313.1260098
177,75313.1317917,75313.1375692,75313.1433462
178,75313.1491231,75313.1549001,75313.1606825
179,75313.1664588,75313.1722358,75313.1780133
180,75313.1837952,75313.1895721,75313.1953497
181,75313.2011266,75313.2069084,75313.212686
182,75313.2184629,75313.2242399,75313.2300174
183,75313.2357993,75313.2415762,75313.2473538
184,75313.2531307,75313.2589119,75313.2646895
185,75313.2704664,75313.2762433,75313.2820209
186,75313.2878027,75313.2935797,75313.2993572
187,75313.3051342,75313.310916,75313.3166936
188,75313.3224705,75313.3282475,75313.334025
189,75313.3398068,75313.3455838,75313.3513607
190,75313.3571377,75313.3629195,75313.3686971
191,75313.374474,75313.3802509,75313.3860334
192,75313.3918103,75313.3975873,75313.4033648
193,75313.4091418,75313.4149236,75313.4207005
194,75313.4264781,75313.432255,75313.4380375
195,75313.4438138,75313.4495907,75313.4553677
196,75313.4611452,75313.4669271,75313.4727046
197,75313.4784816,75313.4842585,75313.4900403
198,75313.4958179,75313.5015949,75313.5073718
199,75313.5131494,75313.5189312,75313.5247081
200,75313.5304857,75313.536262,75313.5420438
201,75313.5478214,75313.5535983,75313.5593753
202,75313.5651577,75313.5709347,75313.5767116
203,75313.5824892,75313.5882661,75313.5940479
204,75313.5998255,75313.6056024,75313.6113794
205,75313.6171618,75313.6229388,75313.6287151
206,75313.6344926,75313.6402696,75313.6460514
207,75313.651829,75313.6576059,75313.6633829
208,75313.6691653,75313.6749422,75313.6807192
209,75313.6864968,75313.6922737,75313.6980555
210,75313.7038331,75313.70961,75313.715387
211,75313.7211688,75313.7269457,75313.7327227
212,75313.7385002,75313.7442821,75313.750059
213,75313.7558359,75313.7616135,75313.7673904
214,75313.7731729,75313.7789498,75313.7847268
215,75313.7905037,75313.7962862,75313.8020631
216,75313.8078407,75313.813617,75313.8193939
217,75313.8251757,75313.8309533,75313.8367303
218,75313.8425072,75313.8482896,75313.8540666
219,75313.8598435,75313.8656211,75313.871398
220,75313.8771805,75313.8829574,75313.8887344
221,75313.8945113,75313.9002937,75313.9060701
222,75313.9176246,75313.9234064,75313.9291833
223,75313.9349609,75313.9407378,75313.9465148
224,75313.9522972,75313.9580742,75313.9638511
225,75313.9696287,75313.9754105,75313.9811874
226,75313.986965,75313.9927419,75313.9985183
227,75314.0043007,75314.0100776,75314.0158546
228,75314.0216322,75314.027414,75314.0331909
229,75314.0389685,75314.0447454,75314.0505224
230,75314.0563048,75314.0620818,75314.0678587
231,75314.0736363,75314.0794181,75314.085195
232,75314.090972,75314.0967489,75314.1025307
233,75314.1083083,75314.1140852,75314.1198622
234,75314.1256391,75314.1314216,75314.1371985
235,75314.1429761,75314.148753,75314.1545348
236,75314.1603124,75314.1660893,75314.1718663
237,75314.1776438,75314.183425,75314.189202
238,75314.1949789,75314.2007565,75314.2065383
