,Hor_eye,Ver_eye,Time
0,4.35048617210867,-1.8209180204707,75310.0
1,1.88531449345194,-0.16023779495856,75310.0057818
2,1.09909552840219,3.7327229629398,75310.0115587
3,1.10902335745129,4.25656265331924,75310.0173363
4,1.10885809699387,4.92629551604819,75310.0231126
5,1.31072662247215,5.30006806717125,75310.0462259
6,1.41682681612126,5.56943574502288,75310.0520034
7,1.43249971230342,6.54360230998949,75310.0577853
8,1.43525351989305,6.76108094208745,75310.0635622
9,1.47965924140459,6.99775075349008,75310.0693398
10,1.56564246033506,7.10274143582033,75310.0751167
11,1.57519003309011,7.16228885456551,75310.0808936
12,1.64777854839678,7.3828548276674,75310.0866761
13,1.67729241022714,7.3398700066383,75310.092453
14,1.70343633727193,7.56098861793542,75310.09823
15,1.72872525498759,7.59824326829988,75310.1040069
16,1.7747853530714,7.72216554552202,75310.1097894
17,1.8819932334766,7.79132467569505,75310.1155657
18,1.89450498823657,7.82698145815159,75310.1213432
19,1.95623924394772,7.87728157086039,75310.1271202
20,1.95859332714506,7.94009972224167,75310.1328971
21,1.98422054539487,8.07508402339477,75310.1386796
22,1.98611849028339,8.05823264647466,75310.1444565
23,2.00316296795262,8.08687945718246,75310.1502335
24,2.05477627300925,8.06879432236702,75310.156011
25,2.09466215289764,8.07061576020027,75310.1617928
26,2.07483838206981,8.06768122551006,75310.1675698
27,2.10228389187944,8.07464130404957,75310.1733467
28,2.09385009891417,8.12619901184137,75310.1791243
29,2.10166066245884,8.11650238354665,75310.1849061
30,2.04514608727845,8.14751914347552,75310.1906831
31,2.05914669767269,8.09432056759606,75310.1964606
32,2.0455890793668,8.14378700546055,75310.2022376
33,2.03523326930764,8.08622485090195,75310.2080139
34,2.00714824331866,8.03169370457251,75310.2137963
35,1.99042669431885,8.02705833872822,75310.2195733
36,2.00366224447221,7.99068870250168,75310.2253508
37,2.03211223720362,7.97351835274855,75310.2311278
38,1.97462969056249,8.01333911442883,75310.2369096
39,1.98036483015675,7.98913319354499,75310.2426865
40,1.95662834564726,8.03169686260887,75310.2484641
41,1.96398628275775,8.03802393420753,75310.254241
42,1.97896430696808,7.99257935133877,75310.260018
43,1.9502241207571,8.04601433423602,75310.2658004
44,2.04146328440613,8.03030245517269,75310.2715774
45,2.00448344491594,8.07115018315419,75310.2773543
46,2.04178522969464,8.05778046257452,75310.2831319
47,2.03760913139301,8.05663577227295,75310.2889137
48,2.03411636872318,7.94773730386022,75310.2946906
49,2.03086778753428,7.96371472216548,75310.3004676
50,2.02539663089191,7.98317678357055,75310.3062445
51,2.04731345770473,7.99447632443086,75310.3120215
52,2.05455347710759,7.93427679676221,75310.3178039
53,2.03318469206998,7.97543420779466,75310.3235809
54,2.05661566582577,7.96954755480579,75310.3293578
55,2.06681923119825,7.93529153731481,75310.3351354
56,2.07001278396747,7.8884296509712,75310.3409172
57,2.07908737006856,7.86769832171876,75310.3466941
58,2.12156763542114,7.95571961199622,75310.3524717
59,2.14952101242462,7.88065093497338,75310.3582486
60,2.18898903708816,7.98984771430623,75310.3640256
61,2.22507405571165,7.93807338549685,75310.369808
62,2.29282546168898,8.08601613547867,75310.375585
63,2.32465080929681,8.14487501666984,75310.3813619
64,2.36863385444277,8.1921271407619,75310.3871395
65,2.42941439920291,8.31361551168587,75310.3929207
66,2.46827063903273,8.36218529595684,75310.3986976
67,2.47578484863581,8.43971521212454,75310.4044752
68,2.47914072826032,8.4669209824082,75310.4102521
69,2.52199279721836,8.52984824485354,75310.4160339
70,2.54122604546464,8.57217912297967,75310.4218115
71,2.57350394271953,8.61515437847348,75310.4275884
72,2.60524062202739,8.59764007547042,75310.4333654
73,2.57259346164737,8.63132993991221,75310.4391429
74,2.56801963810944,8.64674614169914,75310.4449248
75,2.6127207850845,8.59480606573686,75310.4507017
76,2.64337269532034,8.55654432383358,75310.4564793
77,3.22555125688358,8.33900559396508,75310.4622562
78,4.37683130543348,7.88829689411371,75310.468038
79,5.54959529980175,7.5812342785185,75310.4738156
80,6.62013093734555,7.22092566782526,75310.4795925
81,7.56917734059152,6.90293241610826,75310.4853689
82,8.32016706134143,6.44703873259371,75310.4911458
83,8.96829096043119,6.01995129168851,75310.4969282
84,9.11222703322048,5.80208340870397,75310.5027052
85,9.08363628646559,5.70581429929665,75310.5084821
86,9.04225000791427,5.70002161340128,75310.5142597
87,9.08263511307181,5.64238427828773,75310.5200415
88,9.1136056757804,5.63837923321179,75310.5258191
89,9.17776145821235,5.61810273639364,75310.531596
90,9.14546391885112,5.62108518256885,75310.537373
91,9.17329767555871,5.58052152087622,75310.5431499
92,9.23190894972281,5.58004965127645,75310.5489324
93,9.23609141672012,5.55074391076938,75310.5547093
94,9.28859892288229,5.54118745961289,75310.5604869
95,9.30001487159068,5.54229471379419,75310.5662638
96,9.31998420685046,5.44224412571134,75310.5720456
97,9.35828315486825,5.43329641039872,75310.5778219
98,9.36259715656861,5.37349949254277,75310.5835995
99,9.40189569183113,5.39055048116807,75310.5893764
100,9.40162273597983,5.36690816168034,75310.5951583
101,9.41725114265129,5.34577299803433,75310.6009358
102,9.41901281200809,5.41487301771863,75310.6067128
103,9.4599817313619,5.30650145599699,75310.6124897
104,9.44856342993902,5.30979992427261,75310.6182673
105,9.46040273074787,5.34509691118824,75310.6240491
106,9.43757285856465,5.27919302487682,75310.629826
107,9.53481537851006,5.41671910758416,75310.6356036
108,9.46524545136444,5.34572268882478,75310.6413805
109,9.48842972962343,5.3257328493769,75310.6471624
110,9.47483558000605,5.38643077247763,75310.6529399
