,Hor_eye,gx
0,-0.2761889350032938,-5784.0
1,-0.30535122670931303,-5846.0
2,-0.36190424283290495,-5913.0
3,-0.40126599487728015,-5985.0
4,-0.49606061768987425,-6059.0
5,-0.5711174766817625,-6136.0
6,-0.6272037347720232,-6214.0
7,-0.6738707748217267,-6293.0
8,-0.7293325042896418,-6371.0
9,-0.7997501364576075,-6448.0
10,-0.8749151462575501,-6523.0
11,-0.9440381851889648,-6593.0
12,-0.9998246470936281,-6657.0
13,-1.0989915705010003,-6717.0
14,-1.1782073846689263,-6770.0
15,-1.266272793331742,-6817.0
16,-1.3417406494152764,-6859.0
17,-1.4369606309887841,-6895.0
18,-1.501549092743542,-6926.0
19,-1.5735498626307889,-6953.0
20,-1.6262512423391926,-6978.0
21,-1.6949073843176192,-7001.0
22,-1.7661581968624085,-7023.0
23,-1.853586038177402,-7045.0
24,-1.9270129319868747,-7068.0
25,-2.0308509471457508,-7092.0
26,-2.0771643627855827,-7116.0
27,-2.1543311820910316,-7142.0
28,-2.2042904287614675,-7169.0
29,-2.2398884818446665,-7198.0
30,-2.2770885057559482,-7228.0
31,-2.3085600871538148,-7260.0
32,-2.3570859425981796,-7295.0
33,-2.4016574269632804,-7330.0
34,-2.505950950652226,-7367.0
35,-2.6686471956418005,-7403.0
36,-2.9639074787828528,-7437.0
37,-3.743335465107806,-7469.0
38,-4.325243661095976,-7497.0
39,-6.037052644072374,-7521.0
40,-7.451950068551043,-7540.0
41,-8.711816952253367,-7555.0
42,-9.735952304658323,-7566.0
43,-9.993975179074297,-7575.0
44,-10.151539147707908,-7583.0
45,-10.208653142099644,-7593.0
46,-10.230028168767465,-7605.0
47,-10.240784162551986,-7621.0
48,-10.229401012290687,-7641.0
49,-10.197031650125906,-7666.0
50,-10.150582023278666,-7694.0
51,-10.109778070335697,-7723.0
52,-10.068924586724718,-7753.0
53,-10.024791193008655,-7780.0
54,-9.949971270797032,-7805.0
55,-9.88443646227727,-7824.0
56,-9.7852852905051,-7837.0
57,-9.699879916743752,-7844.0
58,-9.616276520320278,-7844.0
59,-9.500600765669477,-7836.0
60,-9.42384833915734,-7822.0
61,-9.303371654699955,-7802.0
62,-9.191499547666096,-7777.0
63,-9.091603877649051,-7748.0
64,-8.950411952455703,-7716.0
65,-8.832299051729606,-7683.0
66,-8.708934094399444,-7650.0
