,Hor_eye,gx
0,4.530072030657415,5682.9470102691785
1,5.048403763962504,5926.997505197749
2,5.324839780079334,6150.00212867137
3,5.3921568716485035,6365.374156265031
4,5.2983672879222725,6574.869813701126
5,5.0938754184107635,6732.747826023598
6,4.82202318942006,6891.475505145134
7,4.5146575683403,7060.613608257438
8,4.192154733508407,7236.851975507751
9,3.8660051660013894,7424.142969722901
10,3.5420124771801786,7650.092235852455
11,3.2228977115974584,7805.645617807355
12,2.9098708589623303,7945.48860425337
13,2.60330828075598,8065.287093981762
14,2.3029376308557397,8184.710405620431
15,2.007877906996814,8303.406851657894
16,1.7167940669045456,8428.552934760708
17,1.4282314630222077,8567.828301595271
18,1.141017183073623,8771.173101776065
19,0.8545179220354796,8967.021405497597
20,0.568717313222043,9156.161121443663
21,0.28408474915588355,9352.511859100727
22,0.0013312044108820253,9528.36439577755
23,-0.27881775075680826,9678.256256944982
24,-0.5557828876515436,9841.835817499687
25,-0.8291832164219527,10024.068408368761
26,-1.098775546588538,10219.045897885726
27,-1.3643932141006316,10379.868229406822
28,-1.6259011383780375,10562.673858575683
29,-1.8832453275864862,10785.528181425077
30,-2.136525452665592,11027.232223826273
31,-2.3860435998990916,11226.34447621528
32,-2.6322562708190937,11388.650666812759
33,-2.8756465160291684,11535.045397410438
34,-3.1165302332838047,11697.831498033749
35,-3.3548771541158127,11879.446229382444
36,-3.5902365708217507,12022.871428601102
37,-3.8217624927411467,12232.466394991005
38,-4.048380225520253,12394.548868559674
39,-4.269049554415918,12521.503190094234
40,-4.48302491905218,12638.739955049636
41,-4.690047128674867,12781.64925031129
42,-4.890389927557609,12955.33864781591
43,-5.084723588443346,13060.860616827653
44,-5.273824453424556,13184.844907970953
45,-5.458244581270406,13314.182809722712
46,-5.638054828043496,13435.304616512653
47,-5.812833451227885,13549.213263877411
48,-5.981900542613425,13635.967633044436
49,-6.144691773784046,13725.570526272448
50,-6.301039704386091,13820.16304110833
51,-6.4512394404004105,13909.667525578801
52,-6.595901695822148,13992.586389903738
53,-6.7357672539992635,14064.319542924452
54,-6.871537830879175,14134.052588571669
55,-7.003742747842693,14201.739509522662
56,-7.132599242860965,14277.306984057246
57,-7.257867272904142,14360.19121777269
58,-7.378804930925721,14469.43387819824
59,-7.494333411808451,14582.619540593518
60,-7.603388279451747,14646.086616591365
61,-7.70529224217439,14718.98464631638
62,-7.79999813109458,14796.55326305806
63,-7.88804750563998,14850.06560009522
64,-7.970318723775731,14902.351472189333
65,-8.047670126611262,14955.077470690185
66,-8.120616306928333,15020.555779449136
67,-8.189164566685998,15063.035014201841
68,-8.252834817781336,15105.05465108352
69,-8.31081354909087,15172.010228010444
70,-8.362153292888122,15232.594954467953
71,-8.405909152511786,15280.126877227909
72,-8.441187845378117,15329.17193269263
73,-8.46715344220797,15381.52239411288
74,-8.483032930472211,15429.062967610464
75,-8.488171729300593,15482.75417389685
76,-8.482088078786951,15527.428428709105
77,-8.464523299825334,15564.969873995587
