,Hor_eye,Ver_eye,Time
49,2.45263641808065,-13.693415160062,74814.2946865
50,2.48053027983842,-13.6493142764006,74814.3004634
51,2.48832310829822,-13.6900669902346,74814.3062458
52,2.46507985792708,-13.7073239448447,74814.3120228
53,2.399392521692,-13.4073251191727,74814.3177997
54,2.47313558044669,-13.6029337887795,74814.3235773
55,2.47675547880641,-13.6655403307703,74814.3293542
56,2.5135998740486,-13.5589471817466,74814.3351361
57,2.48541300879635,-13.6689824565768,74814.3409136
58,2.62551082772438,-13.9070364059642,74814.3466906
59,2.72923925853806,-13.9363468717021,74814.3524675
60,2.97536605488558,-14.2260843092343,74814.3582493
61,3.01485204432008,-13.9333225074461,74814.3640263
62,2.60600974094381,-14.0059717953162,74814.3698032
63,1.01912439494759,-14.3436139050294,74814.3755808
64,-1.20968904925653,-14.1125715876074,74814.3813577
65,-3.8478092854662,-13.8389449569491,74814.3871402
66,-6.30621138295014,-13.5733131076572,74814.3929171
67,-6.78838275803233,-13.6171420878209,74814.398694
68,-6.84461666753286,-13.4681024907739,74814.404471
69,-6.7726263467695,-13.4392774078173,74814.4102534
70,-6.94457429266686,-13.6789476238862,74814.4160304
71,-6.69657750911638,-13.7271856320713,74814.4218073
72,-6.76801883534008,-13.7601590632111,74814.4275849
73,-6.48142972009718,-13.873661488662,74814.4333618
74,-6.53087054619173,-13.8668152923869,74814.4391436
75,-6.44436674140849,-13.8978040967086,74814.4449212
76,-6.27099008770192,-13.9805965518843,74814.4506975
77,-6.17111455902419,-14.2554515006289,74814.4564745
78,-6.2375331065739,-14.4403206940487,74814.4622569
79,-5.89508343292622,-14.7633602162393,74814.4680339
80,-5.78884754251378,-15.1005030116206,74814.4738108
81,-5.65762317535699,-15.1132247476278,74814.4795884
82,-6.02945289792506,-15.046498696953,74814.4853702
83,-6.06361824613902,-15.1404140377669,74814.4911471
84,-5.96860855450832,-15.1248967648277,74814.4969247
85,-5.75242384558708,-15.2158175063699,74814.5027016
86,-5.9393470156537,-15.1205841443833,74814.5084786
87,-5.64133799617522,-15.2683136148522,74814.514261
88,-6.12450649987353,-15.2735031547029,74814.520038
89,-6.12759244328534,-15.1718286159112,74814.5258149
90,-6.11511986451126,-15.1340316957055,74814.5315925
91,-6.14377044393896,-15.4200729272454,74814.5373743
92,-5.5109529723614,-15.3729398032629,74814.5431506
93,-5.98816561051106,-15.5011053305062,74814.5489282
94,-5.88514079120834,-15.3007859652572,74814.5547051
95,-5.87625138837985,-15.3043644080171,74814.560482
96,-5.82953307004674,-15.2315409028328,74814.5662645
97,-5.88548203404599,-15.2489085986727,74814.5720414
98,-6.35792048678601,-15.0788673769176,74814.5778184
99,-7.0075056859252,-13.7470018414661,74814.5835959
100,-7.77374182243448,-12.255977828547,74814.5893778
101,-8.2088915214524,-10.7483400871567,74814.5951547
102,-8.74982300396582,-10.0029878031033,74814.6009323
103,-9.07559571841884,-9.64991052387875,74814.6067092
104,-9.13942842306148,-9.81785711236402,74814.6124862
105,-9.02981955384424,-9.83228738515874,74814.6182686
106,-8.91898283568401,-9.9825362677818,74814.6240455
107,-8.90291997296244,-9.96764969336779,74814.6298225
108,-8.80936447258684,-10.0178884034937,74814.6355994
109,-8.83779513796327,-10.0333573325178,74814.6413812
110,-8.83502259844046,-10.0592129133911,74814.6471582
111,-8.82235033232325,-10.3596040496389,74814.6529358
112,-8.79179421696972,-10.5071935030448,74814.6587127
113,-8.78909658051833,-10.715174758019,74814.6644896
114,-8.71765330824713,-10.9883384182783,74814.6702721
115,-8.72273100803475,-11.46211278876,74814.676049
116,-8.796334738711,-11.5668670681834,74814.681826
117,-8.76597681479627,-11.83441934465,74814.6876035
118,-8.76839329488019,-12.2093398767914,74814.6933854
119,-8.75102229323686,-12.3639156207669,74814.6991623
120,-8.84317006546073,-12.8394590440476,74814.7049399
121,-8.74117677079849,-13.0674002736263,74814.7107168
122,-8.78851297899617,-13.2860957228509,74814.7164986
123,-10.2635286717657,-14.2553947768608,74814.7222762
124,-8.98703677335581,-14.1932709260027,74814.7280525
125,-10.4556014633843,-15.0857700342356,74814.7338294
126,-10.4615061378066,-15.5176681250125,74814.739607
127,-10.5679813895227,-15.7077682694535,74814.7453888
128,-10.6832766996902,-16.0379960191828,74814.7511658
129,-10.7999337934481,-16.0285761027225,74814.7569433
130,-10.8301028125111,-16.2134839588658,74814.7627203
131,-10.8909295707684,-16.4557905421523,74814.7685021
132,-11.0226573829377,-16.665945672411,74814.7742797
133,-11.0640440319894,-16.9522581151947,74814.7800566
134,-11.0999728791986,-17.2377600592679,74814.7858335
135,-11.1783473743017,-17.5815555651371,74814.7916111
136,-11.2016367607116,-17.7644007316057,74814.7973929
137,-11.3306639301551,-17.901294569969,74814.8031699
138,-11.3524699028831,-18.1269266495266,74814.8089474
