,Hor_eye,gx
0,-5.943325336799034,5045.842318846817
1,-5.978797924766077,5115.196817686722
2,-6.015668120008557,5188.072342373179
3,-6.054087596314579,5276.622432343235
4,-6.094096176208406,5336.990128329778
5,-6.1356479852239625,5399.931389342232
6,-6.178566699863328,5493.275972798563
7,-6.222429704637432,5548.646011595997
8,-6.266455780297532,5608.353665571948
9,-6.309550741760671,5676.196263396494
10,-6.350567644229126,5747.11682047279
11,-6.388699349292868,5808.597297292971
12,-6.423757888702415,5860.164702673544
13,-6.456177370128302,5919.283314649521
14,-6.486711214265915,5983.831765948866
15,-6.5159808929874785,6044.0590212740035
16,-6.54414639825517,6104.382891106673
17,-6.570833974581008,6164.882847899101
18,-6.595307792182703,6237.608425353495
19,-6.61672852004392,6316.022403515529
20,-6.634339340314622,6387.840043259505
21,-6.6475185405579245,6445.4077489499805
22,-6.655753735510596,6517.0897699066445
23,-6.658621179427574,6587.085438650662
24,-6.6558658015323395,6650.583179905128
25,-6.6475323690240256,6704.369529347695
26,-6.634132210919257,6757.152880965996
27,-6.616659551173113,6809.01321491319
28,-6.596472040505365,6856.044975447648
29,-6.57504600191889,6907.018988244969
30,-6.553722003549096,6989.956000002807
31,-6.533559441137156,7058.757567173437
32,-6.51531486711159,7111.113972553652
33,-6.499509622560557,7142.768219127444
34,-6.486488478458971,7175.090738278593
35,-6.47646045530997,7211.277136475814
36,-6.469484854218303,7249.841282425231
37,-6.465447384744036,7291.093232057902
38,-6.464006360631875,7330.607545561399
39,-6.46458365992074,7357.874340802529
40,-6.466410288865697,7385.02415482405
41,-6.468657059863514,7412.028016063802
42,-6.470597699319622,7437.043796579794
43,-6.47171728461673,7461.575420282089
44,-6.471705024152179,7485.01791303366
45,-6.470380175351911,7506.210762359756
46,-6.4676433419540516,7525.41824819588
47,-6.463508838261065,7550.0554765107345
48,-6.458173198169756,7581.811034515925
49,-6.452030053867574,7608.3742528996545
50,-6.445591663350573,7636.581796575955
51,-6.43934871399543,7662.86968718642
52,-6.4336771768835845,7684.456629705302
53,-6.428822955377169,7711.461755368344
54,-6.424982260135391,7739.079369503865
55,-6.4224104876293,7763.255250250902
56,-6.421497647883063,7780.0781073453345
57,-6.422774554600403,7799.201906386646
58,-6.426817669192932,7827.062671014531
59,-6.434086673903302,7844.627578725581
60,-6.444748690048071,7860.1515077777985
61,-6.458629436682391,7874.212305454535
62,-6.475331265898314,7891.818240018611
63,-6.494456953103515,7909.786703309802
64,-6.515782118414971,7928.3406844039055
65,-6.53929140017814,7948.819798633185
66,-6.565074653212017,7964.958344443255
67,-6.59321758731104,7978.058857147597
68,-6.623774964256562,7989.063809517757
69,-6.656877913753931,7999.703884319682
70,-6.692905628390284,8009.731520004821
71,-6.7325994317696605,8018.975680001103
72,-6.776982317203973,8024.648725492538
73,-6.827029621348833,8029.848924972293
74,-6.883172440750757,8034.381601335379
75,-6.94488380477741,8037.7050433868435
76,-7.010585436923337,8040.509340661708
77,-7.078006501726963,8042.414043960325
78,-7.144828553779497,8044.423096085156
79,-7.209347392163085,8045.575477178484
80,-7.270894819412056,8045.63450742362
81,-7.329940238437693,8044.875266820423
82,-7.387913077311639,8044.205081206355
83,-7.446844848388746,8042.643716216789
84,-7.50890505854431,8040.756477517471
85,-7.57591018747554,8038.894529917406
86,-7.648886180713826,8036.952129818905
87,-7.727793481914889,8035.780324544311
88,-7.8115050829694574,8034.802369764383
89,-7.898075705910103,8034.212216546287
90,-7.985233492210364,8033.480435392486
91,-8.070929368145151,8032.581474245175
92,-8.15373581548339,8031.578369748006
93,-8.232963652884749,8030.2620537123
94,-8.308507905174004,8027.877480310072
95,-8.380568284253524,8023.74010416837
96,-8.449447637700493,8017.858304632491
97,-8.51547727303719,8012.502238416073
98,-8.579020077996029,8005.810992909978
99,-8.6404299156965,7997.64368601562
100,-8.699931020248455,7986.978428854136
101,-8.757490227021178,7978.0186713385665
102,-8.812774694985858,7971.967818924542
