,Hor_eye,gx
0,-7.5687559858537865,9825.277926746634
1,-7.769407546931997,9953.570552245066
2,-8.010462372129213,10079.762926848809
3,-8.11307934531361,10208.794285842469
4,-8.243205983455354,10308.557377111027
5,-8.564576713727217,10435.761904816796
6,-8.85643952183077,10600.35131759597
7,-9.066300116400502,10726.1791968608
8,-9.2537616652532,10857.33416780402
9,-9.460113394205175,10996.937340278617
10,-9.644596684637152,11123.960114066025
11,-9.819581853518985,11254.551724217987
12,-10.003071243347685,11379.213155757769
13,-10.170512496304427,11490.18553765289
14,-10.316327298522463,11595.639593930868
15,-10.46126448442762,11682.686747038379
16,-10.61723310132268,11791.2077626553
17,-10.774210810595406,11897.473887901657
18,-10.914410455483958,11984.067842661521
19,-10.991389343205705,12087.76068383566
20,-10.771175830974268,12162.4469097071
21,-9.610807240551296,12239.216741468508
22,-7.5691613736223475,12327.175712983595
23,-5.399480549869014,12423.396619024788
24,-3.802533540182286,12525.371663329246
25,-3.233611671232999,12665.858632694559
26,-3.350892559498272,12805.427536391371
27,-3.659069798211191,12909.023294562467
28,-3.9116346417014305,13008.917043748543
29,-4.1185409901179195,13114.387919519291
30,-4.323871870497235,13187.706155701007
31,-4.493901379346495,13256.24590167539
32,-4.634104095132087,13302.029038165902
33,-4.796397255249106,13365.177133686138
34,-4.980061891300133,13414.652173958417
35,-5.162367380525504,13446.94705176552
36,-5.316796479209892,13473.476851868658
37,-5.4728605475070164,13486.155820358255
38,-5.574616875313012,13492.646840151729
39,-5.642572526110757,13496.581065091495
40,-5.883040051420817,13497.0
41,-6.041632842714061,13498.0
42,-6.240403380470643,13498.0
43,-6.441391939137013,13498.0
44,-6.608804259374927,13498.0
45,-6.787075453745012,13498.0
46,-6.953325276944706,13498.91611185257
47,-7.0972047887648,13499.0
48,-7.227585125621508,13499.0
49,-7.370656474808089,13498.877344876531
50,-7.530284678394949,13498.0
51,-7.686583521448242,13498.0
52,-7.801804582995183,13498.0
53,-7.907301113235905,13498.0
54,-8.04608172535675,13498.0
55,-8.187862057147873,13497.113549618032
56,-8.2977599320931,13497.0
57,-8.396503968730146,13495.966990290392
58,-8.498248698242865,13494.34228769257
59,-8.603366535484916,13491.369999997405
60,-8.71272868640369,13485.006363632961
61,-8.844484507196087,13472.175675671066
62,-8.970062238313126,13453.86933795477
63,-9.073717833441584,13420.819807392203
64,-9.139013407803944,13386.057040962814
65,-9.211578254709433,13338.382978667229
66,-9.27785674525691,13284.365354302885
67,-9.301787641957167,13245.836317134297
68,-9.330605642259233,13212.225988697961
69,-9.46866867372361,13173.268907547897
70,-9.609204537377595,13129.95522385241
71,-9.702114869510059,13076.41411446691
72,-9.772966418957163,13028.603626920964
73,-9.846171026363464,12979.933823518126
74,-9.903249946583017,12931.470355704338
75,-9.967048671154341,12878.848837127689
76,-10.025827764198832,12815.133333296091
77,-10.065639069785716,12760.737137503
78,-10.113127838069477,12699.708712574453
79,-10.158736642907666,12635.81137180325
80,-10.20261196862179,12580.37153644754
81,-10.248369390462932,12517.45316154745
82,-10.316833842869949,12451.218085073726
83,-10.409093402923821,12363.823728740852
84,-10.453389677072735,12283.838827794343
85,-10.522767000343519,12230.339480250248
86,-10.533399775761758,12155.59405936442
87,-10.48191812764177,12071.04147456936
88,-10.343700861493216,12002.072769924629
89,-10.21112729014968,11927.514594546637
90,-10.12851047348288,11872.414634116356
91,-9.9775854783217,11820.969924765335
92,-9.826932237863463,11767.77444790543
93,-9.676208901673407,11728.222438975243
94,-9.525490481331474,11680.082191744901
95,-9.37484257164839,11601.4787233524
96,-9.224121275440407,11529.256871013218
97,-9.073481168355189,11458.803553748023
98,-8.922756688246189,11372.722994640932
99,-8.772043799878785,11287.297872281426
100,-8.621402586573698,11203.434782561086
101,-8.470679581150758,11102.106109278904
102,-8.320033162430454,10999.095684763943
103,-8.169305917872656,10848.11205657925
104,-8.01862052800062,10694.674137733968
105,-7.867943866597859,10557.35199988323
106,-7.717228614636865,10426.233654860718
107,-7.566553180010895,10316.009746564876
108,-7.415864223658396,10207.810304365306
109,-7.26515323409489,10096.872081126565
110,-7.114507731811672,10003.553900042461
111,-6.9637863974645855,9907.065190643396
112,-6.813072848053183,9809.749999978683
113,-6.662413429394946,9726.905963191628
114,-6.51169629007194,9612.148097750762
115,-6.361048866166033,9529.947010830507
116,-6.210334904165068,9421.243243179291
117,-6.059619733785511,9272.91894963057
118,-5.908971212222665,9092.935483630179
119,-5.758256844642719,8930.082329260002
120,-5.607607165101572,8763.028225704189
121,-5.4568821540992465,8578.881305630179
122,-5.306021514041286,8414.790067515718
123,-5.152956636648847,8230.779999835851
124,-4.997072256264888,8085.697368404352
125,-4.872579023623319,8019.907894722761
126,-4.7978668708706165,7936.923076899463
127,-4.735483825883992,7807.231249939989
