,Hor_eye,gx
0,6.581815853487472,3714.923766858141
1,6.819828092826814,3632.4125560304665
2,7.053813194962216,3525.4518347995527
3,7.1851151305420435,3418.1575629656786
4,7.429423617983063,3312.1711292033924
5,7.638280521022633,3193.136107934114
6,7.994536192217515,3057.6799999068344
7,8.309680788254257,2921.560362117784
8,8.609271493797134,2815.639518417697
9,8.955176680986003,2703.9828571682565
10,9.532572196340864,2554.5816326623194
11,10.340514977404554,2430.828920548195
12,11.013605265850163,2289.996774196896
13,11.447678320918085,2163.5692464371273
14,11.774002060730911,2074.010493180893
15,12.09547915519514,1986.6975764319843
16,12.412163908281848,1893.100000003193
17,12.73941376390123,1794.016451222159
18,13.06790967921,1705.946428614252
19,13.40613277476833,1569.9722649288249
20,13.763600279720215,1435.5357765941117
21,14.126659264876281,1321.2200772580672
22,14.473030394301261,1192.6386718670037
23,14.824625733755568,1060.9357797210466
24,15.191030988979213,913.1432664348082
25,15.485159649475083,765.1082300449903
26,15.364738685590755,584.7033638254361
27,14.477210155647086,415.88286056617994
28,13.256779346140426,286.9693251050898
29,12.50417604366831,166.1488203401473
30,12.315578392759619,26.854392270378426
31,12.326304176916475,-93.68344157380062
32,12.132985988835555,-198.72071130689517
33,11.583590106027962,-303.3364929208843
34,10.973743753159011,-392.23140494019253
35,10.509953939957795,-483.106194629171
36,10.44098851860089,-580.7283236821655
37,10.788348694197097,-707.5028464213023
38,11.142995678713076,-828.1355140235802
39,11.392592524210404,-919.748148165185
40,11.601093849792601,-1029.9322034070387
41,11.701802846702488,-1124.5565326696428
42,11.594500261664244,-1226.1319019206735
43,11.2683179890176,-1329.4493743016085
44,10.916589439577097,-1434.7361110679142
45,10.717657360482185,-1540.9798206402668
46,10.672773931837593,-1642.5032257686091
47,10.76576852780955,-1761.8424396956168
48,10.96509155585521,-1899.6911488036699
49,10.980452817414877,-2023.7878788052435
50,10.680041383881354,-2144.427480933117
51,10.539203178829432,-2262.748091651955
52,10.41035030609705,-2383.803891111329
53,10.348545359018136,-2549.7917207096502
54,10.618401224910132,-2718.3966481240464
55,11.05473095255294,-2883.8089025753584
56,11.395956278583546,-2986.6485034814414
57,11.435540394906731,-3129.8872180731637
58,10.94327075906972,-3257.029055794871
59,10.131994641491698,-3385.5159386732735
60,9.42743767252308,-3504.46202539763
61,8.873054103899614,-3604.2059095145414
62,8.488643975111026,-3718.4653465370675
63,8.300933346442458,-3807.1844023361277
64,8.364014234332716,-3928.3459214388886
65,8.586954602120477,-4087.1612902366633
66,8.690623581340429,-4239.798000034324
67,8.329777744578,-4365.184062827177
68,7.653254644369856,-4505.88858702715
69,6.984205412884815,-4655.896739132502
70,6.478022502958008,-4838.960573571876
71,6.149117029487366,-4977.573529351153
72,5.793040912270174,-5136.749652243091
73,5.26422039771098,-5252.759733076285
74,4.670938430183945,-5385.966794332531
75,4.361251783937471,-5505.5178571860115
76,4.437885465890777,-5620.187648474466
77,4.537012942147163,-5730.682840318408
78,4.198878468714802,-5822.284607977028
79,3.579178749640374,-5910.066147876128
80,2.9452353638791076,-6013.95698930572
81,2.263350108709998,-6093.231155749748
82,1.5626433560861477,-6188.380081253561
83,1.265328212485946,-6265.604017226345
84,1.5487297782440899,-6342.786082488011
85,2.077364744221422,-6433.73228340865
86,2.357416190185823,-6543.829296408732
87,1.9529607345335704,-6663.114570397564
88,0.914153045275099,-6766.813953517418
89,-0.04902535637521416,-6895.058988866964
90,-0.4476860033354769,-7037.996466440608
91,-0.20319187868950364,-7222.842105196409
92,0.34672687688600273,-7409.461538543518
93,0.8937176218774725,-7575.3586292520895
94,1.4282092944547249,-7721.393072353588
95,1.9650721057157334,-7818.531626576261
96,2.5004108717558844,-7978.0067492137405
97,3.0303870152738863,-8121.287804976641
98,3.553437361513728,-8231.177193012665
99,4.002224117202766,-8345.440559524173
100,3.9786005950620518,-8467.68908499216
101,3.0872590343939805,-8595.392121708723
102,1.5865581996322735,-8686.708146792571
103,0.2986166355433686,-8817.208546958522
104,-0.03304494171961083,-8956.07863698004
105,0.28749425235774684,-9087.708126033303
106,0.7662103736558016,-9168.968490918565
107,1.2250091325895132,-9277.149122832463
108,1.676089888652119,-9382.295497134677
109,2.116593731348869,-9475.242677759623
110,2.54681338751905,-9578.961335664106
111,2.970920651478084,-9669.476890792845
112,3.37538219915119,-9773.76963358235
113,3.753585134188632,-9868.48206479385
114,4.091908595461735,-9961.776750403667
115,4.175348852898117,-10070.189261765618
116,3.478463909061069,-10165.988235354089
117,1.7701141076693954,-10259.41176472503
118,-0.44376026896667964,-10331.952109498097
119,-2.3562653617241027,-10395.419999988111
120,-3.434861756892811,-10444.97487435946
121,-3.5867439115867694,-10511.967799624726
122,-3.2769318936112053,-10584.61855674897
123,-2.92316987845896,-10632.448508184336
124,-2.572948583604085,-10683.438202231002
125,-2.216501465491392,-10747.279411759513
126,-1.8506724418561993,-10805.862523531425
127,-1.4809319732972177,-10876.544147872184
128,-1.093436416045408,-10968.585937482418
129,-0.6916084661268431,-11026.39843749696
130,-0.34761262317252356,-11110.352984532763
131,-0.3977233284486939,-11154.568165092687
132,-1.3486984487594587,-11224.968571475592
133,-3.127523316424182,-11306.555425907776
134,-4.830260118721526,-11398.22024628027
135,-5.767827618633705,-11498.49391953141
136,-5.7980733139046015,-11553.837579615716
137,-5.598771847177487,-11603.135135119514
138,-5.121804191608849,-11630.354515053992
139,-4.59282569194112,-11643.702845101741
140,-4.107337577964523,-11655.472847681782
141,-3.6478188510897156,-11669.000000004331
142,-3.1925295822857294,-11682.176914781267
143,-2.740558031682805,-11694.56768559537
144,-2.280481446093043,-11707.19358407223
145,-1.8056209902072655,-11718.348373559234
146,-1.346276761578056,-11729.244444445016
147,-0.8928516500207533,-11742.390070920274
148,-0.4073184219835192,-11757.812316713686
149,0.0705206454699092,-11773.516837479712
150,0.4591004961322548,-11801.75757576014
151,0.45856436549247925,-11844.133022152575
152,-0.5512096739843284,-11909.38295968459
153,-2.088627045930358,-11982.92556054371
154,-3.26556523095034,-12106.00965249069
155,-3.6036864384652945,-12223.77874701339
156,-3.2638146913903356,-12330.836637655677
157,-2.76082712674953,-12463.5869786259
158,-2.26459108122176,-12585.93051643536
159,-1.745546856590921,-12707.884009086316
160,-1.226806496259817,-12795.822374930101
161,-0.7405581426456285,-12849.06700166558
162,-0.26947339026010736,-12903.417910462087
163,0.22658738659972985,-12921.330494041622
164,0.7329834525937062,-12928.408805032781
165,1.2351070806972977,-12931.0
166,1.7280019927819728,-12931.0
167,2.2074346903529984,-12931.0
168,2.6715336844503064,-12931.433576643227
169,3.1107024748780656,-12932.0
170,3.5431822603411205,-12932.0
171,3.973302856672724,-12932.0
172,4.39732183301549,-12932.0
173,4.815795357444717,-12932.0
174,5.173767813292533,-12932.0
175,5.406623847910548,-12931.357607282207
176,5.559933293590491,-12931.0
177,5.696033420657597,-12931.0
178,5.8313476682408005,-12928.624999999163
179,5.966659742659333,-12922.58122449498
180,6.101905721890215,-12911.473684221142
181,6.237213002421167,-12891.100169791149
182,6.372486727689898,-12844.755760394399
183,6.50777037671612,-12770.486891395421
184,6.635339273728454,-12693.212598380904
185,6.6384139574199414,-12611.847768974956
186,6.641488641111424,-12503.26977690539
187,6.6445633248029115,-12404.877827999422
188,6.647638008494394,-12294.485380088412
189,6.650712692185881,-12210.227665666369
190,6.653787375877368,-12126.017034049062
191,6.656862059568851,-12036.87676057031
192,6.659936743260338,-11926.054455471165
193,6.663011426951825,-11848.546857768899
194,6.666086110643307,-11787.08408408559
195,6.669160794334794,-11741.480863604378
196,6.672235478026281,-11705.04963038826
197,6.675310161717764,-11674.470277400473
198,6.678384845409251,-11650.074614063802
199,6.681459529100738,-11632.708886620208
200,6.6845342127922205,-11609.821974963752
201,6.687608896483708,-11578.423841053025
202,6.6906835801751905,-11559.93552100925
203,6.693758263866678,-11544.520254165667
204,6.696832947558164,-11523.074662423547
205,6.699907631249647,-11498.029126226256
206,6.702982314941134,-11473.481398814889
207,6.706056998632621,-11460.832589286529
208,6.709131682324104,-11447.845008752201
209,6.712206366015591,-11434.018216682374
210,6.7347862053472145,-11419.234580391501
211,6.768606236100367,-11404.288811795785
212,6.835211819604382,-11385.301441671769
213,6.970462128227969,-11363.465558195421
214,7.105778144505248,-11340.072426936358
215,7.241087724492472,-11305.602816909719
216,7.376335753834046,-11268.257543116175
217,7.5116425853538775,-11237.37086904527
218,7.646897092755066,-11206.205375608128
219,7.782200818676936,-11182.773259815605
220,7.917513187447039,-11135.04201684055
221,8.052757698888133,-11067.543505685038
222,8.188066506640164,-11002.680384078987
223,8.323350834567101,-10933.129032249604
224,8.458631584449128,-10872.668435007668
225,8.593948043820577,-10795.505732468411
226,8.729203880865702,-10673.178625952074
227,8.864501258767449,-10538.400000043728
228,8.999796464189089,-10440.184210567675
229,9.135054423350391,-10346.093750006423
230,9.270371236685689,-10259.93991413695
231,9.405612462820157,-10201.284692405658
232,9.540933346994922,-10125.397984895517
233,9.67613099802572,-10085.095717896691
234,9.805911006022711,-10047.964285718843
235,9.890434535578807,-10028.942369269555
236,9.869866217204347,-10017.065868260413
237,9.763271526482459,-10007.525581392902
238,9.62122165823995,-9993.562167901224
239,9.476077073270321,-9963.519727871026
240,9.337604577405534,-9928.639874715464
241,9.182305830585712,-9882.62210094578
242,9.027808259077398,-9833.27234491489
243,9.02027727162883,-9756.103542196266
244,9.421405188593157,-9656.55172404975
245,10.083325467679158,-9551.84769533282
246,10.491080490737389,-9462.832271716941
247,10.564026516274591,-9377.517665100906
248,10.414286104088925,-9293.005586556777
249,10.208864301202048,-9161.154294051914
250,9.994494394483606,-9028.545997567866
251,9.755810918089669,-8874.901449184807
252,9.516920135865455,-8664.771653618296
253,9.286479032292274,-8428.801268548274
254,9.03493868900641,-8254.671641679486
255,8.772086338779866,-8040.99367080809
256,8.527314862791306,-7903.452991462913
257,8.277358108176019,-7767.194379308122
258,8.028790218628139,-7605.9761571039235
259,7.787984439996738,-7455.343949008915
260,7.5552330429028185,-7316.581424834443
261,7.315208668430754,-7205.637352651577
262,7.06652950333471,-7075.47536613703
263,6.83767416534116,-6947.783132529237
264,6.6059827871980525,-6825.3477672650415
265,6.360266553685695,-6709.148364497694
