,Hor_eye,gx
0,-4.876106781659301,4189.0
1,-4.747612956170902,4189.0
2,-4.660959587038431,4188.287390030033
3,-4.600388035742103,4186.418124009191
4,-4.491202263378942,4182.814903846156
5,-4.3044350004340695,4179.810679612446
6,-4.099785154893932,4176.155882353603
7,-3.9203273708220703,4173.063063062484
8,-3.7482126865078933,4169.3157894725
9,-3.5849985288364814,4164.345622122262
10,-3.414524468998914,4155.00422832601
11,-3.2505577415501965,4141.785095319621
12,-3.0780609451305465,4126.833333336672
13,-2.908229023950242,4112.451104111421
14,-2.734540708729627,4094.2359550588467
15,-2.533026924362511,4075.0760456211606
16,-2.353821223142887,4057.8599033895675
17,-2.2022033504585403,4047.1716171694916
18,-2.0815516931339477,4037.831775708086
19,-1.957284323008698,4030.2893081748593
20,-1.785895464858243,4023.4883435602405
21,-1.6107253742712329,4009.942549375053
22,-1.456737358864715,3984.466494853079
23,-1.3008678882235658,3928.3391813070316
24,-1.167059399781555,3855.385416693123
25,-1.0284276834370103,3781.935064986361
26,-0.860993527636706,3696.8731707607953
27,-0.6716877332797927,3608.513513579712
28,-0.5059521654192123,3495.9789473941023
29,-0.3660408322435618,3394.8044041401627
30,-0.22809285232545462,3291.813137022121
31,-0.09752704704171039,3165.3001556581867
32,0.03257214674018919,3046.7069847032585
33,0.1652965028634528,2949.2930153917505
34,0.30363086002193335,2816.6460554500713
35,0.4198377040529024,2705.2567849800153
36,0.5135121366988993,2555.502534428991
37,0.6213894803161889,2472.229543866665
38,0.7355838896374656,2326.1807017780625
39,0.8485202821247841,2164.7925736466227
40,0.9100076344748996,2025.2428862028469
41,0.595956983203571,1932.3550815733793
42,-0.5312553577897049,1834.376016316164
43,-2.2835714481879528,1741.5353160848726
44,-3.786581481619209,1634.809523874958
45,-4.614395983521924,1572.8423236455253
46,-4.751539277945439,1469.555466277814
47,-4.614440121150936,1409.26607716827
48,-4.474802883272699,1287.551810305066
49,-4.300359815847125,1201.934010157634
50,-4.0816467384956185,1088.7293987097905
51,-3.8665331430399577,987.2385787292164
52,-3.679013685845862,878.7535353959031
53,-3.479499282825589,756.6245353093457
54,-3.2601975724988104,611.5833333815629
55,-3.0692379724893017,520.4718694322117
56,-2.8851444912204953,382.68140448446735
57,-2.685833751140335,269.03491620866674
58,-2.4682448615294272,162.5984848872152
59,-2.2484652101260423,49.542148850917016
60,-2.0347607519724575,-62.88130557855078
61,-1.8238710546123151,-154.34672012444585
62,-1.6190943718478736,-269.8594164522198
63,-1.3718562196679809,-362.3767258704488
64,-1.1096736627917452,-472.1425438631885
65,-0.8532835971581193,-526.9671052520326
66,-0.6164629490775181,-610.8928571007922
67,-0.6547543055801949,-667.0341753321732
68,-1.5839011767669622,-723.5135951849204
69,-3.851754446514427,-771.9253731560584
70,-6.515558228508048,-838.4964028335636
71,-8.756003335589563,-905.6789473714359
72,-10.42467688428381,-986.336038908125
73,-11.45370756300431,-1057.8502495303649
74,-11.71799009407589,-1162.9730146485754
75,-11.459009148747697,-1249.0674536631989
76,-11.101661574596715,-1386.7751824590057
77,-10.76454449716294,-1475.6285713941425
78,-10.44149444956694,-1605.1778057415906
79,-10.068181538481136,-1727.352941169447
80,-9.641385881318344,-1862.6440678389972
81,-9.190730940589777,-1995.6380090480552
